1,Daniel Radcliffe's delicious asshole. 
2,A monkey smoking a cigar.
3,Smegma.
4,A live studio audience.
5,Making a pouty face.
6,The violation of our most basic human rights.
7,Unfathomable stupidity.
8,Sunshine and rainbows.
9,Whipping it out. 
10,The token minority.
11,The terrorists.
12,The Three-Fifths compromise.
13,A snapping turtle biting the tip of  your peins.
14,Vehicular manslaughter.
15,The great depression. 
16,Emotions.
17,Getting so angry that you pop a boner.
18,Same-sex ice dancing.
19,An M16 assault rifle.
20,Man meat.
21,Incest.
22,A foul mouth.
23,Flightless birds.
24,Doing the right thing.
25,When you fart and a little bit comes out.
26,Frolicking. 
27,Being a dick to children.
28,Poopy disapers.
29,Seeoing grandma naked.
30,Raptor attacks.
31,Swooping
32,Concealing a boner.
33,Full frontal nudity.
34,Vigorous jazz hands
35,Nipple blades.
36,A bitch slap
37,Michelle Obama's arms.
38,Mouth herpes.
39,A robust mongoloid.
40,Mutually-Assured destrucion.
41,The Rapture.
42,Toad hea. 
43,Stalin.
44,Lactaion.
45,Hurricane Katrina.
46,The true meaning of chirstmas
47,Slef-loathing.
48,A brain tumor.
49,Dead babies.
50,New Age music.
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
