1,Flying sex snakes.
2,Sarah Palin.
3,Feeding Rosie O'donnell.
4,Sexy pillow fights.
5,Incading Poland.
6,Cybernetic enhancements.
7,Civilian casualties.
8,Jos.
9,The female orgasm.
10,Bitches.
11,The Boy Scouts of America
12,Auschwitz.
13,Finger Painting.
14,The Care Bear Stare.
15,The Jews.
16,Being marginalized.
17,The Blood of Christ.
18,Dead parents.
19,The art of seduction.
20,Dying of dysentery.
21,"Mr, Clean, right behind you. "
22,Magnets.
23,Jewish fraternities.
24,Hot Pockets.
25,Natalie Portman.
26,Agriculture.
27,Judge judy.
28,Surprise sex!
29,The homosexual agenda.
30,"Robert Downey,Jr."
31,The Trail of Tears.
32,An M. Night Shyamalan Plot twist.
33,Funky frech rhymes
34,The light of a billion suns.
35,Amputees.
36,Throwing a virgin into a volcano.
37,ltalians.
38,Explosions.
39,A good sniff.
40,Destroying the evidence.
41,Children on leashes.
42,Catapults.
43,One trillion dollars.
44,Friends with benefits.
45,Dying.
46,Silence.
47,Growing a pair.
48,YOU MUST CONSTRUCT ADDITIONAL PYLONS.
49,Justin Dieber.
50,The Holy Dible.
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
